Country Name (CN),Observation Months 1 (OM1),Administered Vaccine on OM1 (VOM1),Observation Months 2 (OM2),Administered Vaccine on OM2 (VOM2),Difference of totals (VOM1-VOM2)
Qatar,04/2022,39981801,05/2022,54150383,14168582
Romania,04/2022,150718950,05/2022,151045110,326160
Russia,04/2022,821872302,05/2022,665960217,-155912085
Rwanda,04/2022,,05/2022,40283338,
Saint Kitts and Nevis,04/2022,,05/2022,,
Saint Lucia,04/2022,236112,05/2022,119786,-116326
Saint Vincent and the Grenadines,04/2022,279286,05/2022,70310,-208976
Samoa,04/2022,339214,05/2022,412127,72913
San Marino,04/2022,69081,05/2022,69259,178
Sao Tome and Principe,04/2022,,05/2022,208657,
Saudi Arabia,04/2022,,05/2022,,
Scotland,04/2022,110448752,05/2022,113766558,3317806
Senegal,04/2022,,05/2022,2469499,
Serbia,04/2022,,05/2022,,
Seychelles,04/2022,,05/2022,402242,
Sierra Leone,04/2022,,05/2022,2868978,
Singapore,04/2022,126813183,05/2022,128503539,1690356
Sint Maarten (Dutch part),04/2022,,05/2022,,
Slovakia,04/2022,5734651,05/2022,11486637,5751986
Slovenia,04/2022,26824992,05/2022,26904774,79782
Solomon Islands,04/2022,358870,05/2022,434012,75142
Somalia,04/2022,2477195,05/2022,2677716,200521
South Africa,04/2022,237530273,05/2022,315010476,77480203
South America,04/2022,7378906998,05/2022,7599120158,220213160
South Korea,04/2022,1090833942,05/2022,1115331010,24497068
South Sudan,04/2022,645347,05/2022,1403262,757915
Spain,04/2022,94130810,05/2022,94485122,354312
Sri Lanka,04/2022,39334477,05/2022,78993806,39659329
Sudan,04/2022,,05/2022,7096087,
Suriname,04/2022,504905,05/2022,,
Sweden,04/2022,21232373,05/2022,44296380,23064007
Switzerland,04/2022,125244165,05/2022,141252725,16008560
Syria,04/2022,3538630,05/2022,3743771,205141
Taiwan,04/2022,249721304,05/2022,422878638,173157334
Tajikistan,04/2022,11318942,05/2022,24776151,13457209
Tanzania,04/2022,,05/2022,7280582,
Thailand,04/2022,1172365614,05/2022,1203801385,31435771
Timor,04/2022,1374944,05/2022,1475539,100595
Togo,04/2022,,05/2022,,
Tokelau,04/2022,,05/2022,,
Tonga,04/2022,167123,05/2022,190474,23351
Trinidad and Tobago,04/2022,12369591,05/2022,9322440,-3047151
Tunisia,04/2022,13058621,05/2022,13133590,74969
Turkey,04/2022,1030013353,05/2022,1327708817,297695464
Turkmenistan,04/2022,,05/2022,,
Turks and Caicos Islands,04/2022,68800,05/2022,,
Tuvalu,04/2022,12528,05/2022,,
Uganda,04/2022,,05/2022,41123418,
Ukraine,04/2022,,05/2022,,
United Arab Emirates,04/2022,24523744,05/2022,,
United Kingdom,04/2022,1285659562,05/2022,1319273991,33614429
United States,04/2022,5137050723,05/2022,5252729273,115678550
Upper middle income,04/2022,44727083121,05/2022,45698644691,971561570
Uruguay,04/2022,72944691,05/2022,73883371,938680
Uzbekistan,04/2022,45807547,05/2022,,
Vanuatu,04/2022,199810,05/2022,276709,76899
Venezuela,04/2022,,05/2022,,
Vietnam,04/2022,1038125680,05/2022,1938339585,900213905
Wales,04/2022,62485200,05/2022,64759970,2274770
Wallis and Futuna,04/2022,16100,05/2022,16426,326
World,04/2022,102181952738,05/2022,104848785520,2666832782
Yemen,04/2022,814569,05/2022,,
Zambia,04/2022,17408107,05/2022,7633643,-9774464
Zimbabwe,04/2022,86603439,05/2022,82367857,-4235582
